date,acc_test,acc_negative,acc_confirmed,acc_released,acc_deceased,new_test,new_negative,new_confirmed,new_released,new_deceased
1/20/2020,1,0,1,0,0,1,0,1,0,0
1/21/2020,1,0,1,0,0,0,0,0,0,0
1/22/2020,4,3,1,0,0,3,3,0,0,0
1/23/2020,22,21,1,0,0,18,18,0,0,0
1/24/2020,27,25,2,0,0,5,4,1,0,0
1/25/2020,27,25,2,0,0,0,0,0,0,0
1/26/2020,51,47,3,0,0,24,22,1,0,0
1/27/2020,61,56,4,0,0,10,9,1,0,0
1/28/2020,116,97,4,0,0,55,41,0,0,0
1/29/2020,187,155,4,0,0,71,58,0,0,0
1/30/2020,246,199,6,0,0,59,44,2,0,0
1/31/2020,312,245,11,0,0,66,46,5,0,0
2/1/2020,371,289,12,0,0,59,44,1,0,0
2/2/2020,429,327,15,0,0,58,38,3,0,0
2/3/2020,490,414,15,0,0,61,87,0,0,0
2/4/2020,607,462,16,0,0,117,48,1,0,0
2/5/2020,714,522,18,1,0,107,60,2,1,0
2/6/2020,885,693,23,2,0,171,171,5,1,0
2/7/2020,1352,1001,24,2,0,467,308,1,0,0
2/8/2020,2097,1134,24,2,0,745,133,0,0,0
2/9/2020,2598,1683,27,3,0,501,549,3,1,0
2/10/2020,3110,2552,27,4,0,512,869,0,1,0
2/11/2020,4325,3535,28,4,0,1215,983,1,0,0
2/12/2020,5624,4811,28,7,0,1299,1276,0,3,0
2/13/2020,6511,5921,28,7,0,887,1110,0,0,0
2/14/2020,7242,6679,28,7,0,731,758,0,0,0
2/15/2020,7734,7148,28,9,0,492,469,0,2,0
2/16/2020,8161,7647,29,9,0,427,499,1,0,0
2/17/2020,8718,7980,30,10,0,557,333,1,1,0
2/18/2020,9772,8923,31,12,0,1054,943,1,2,0
2/19/2020,11173,9973,51,16,0,1401,1050,20,4,0
2/20/2020,13202,11238,104,16,1,2029,1265,53,0,1
2/21/2020,16400,13016,204,17,2,3198,1778,100,1,1
2/22/2020,21586,15116,433,18,2,5186,2100,229,1,0
2/23/2020,26179,17520,602,18,6,4593,2404,169,0,4
2/24/2020,32756,20292,833,24,8,6577,2772,231,6,2
2/25/2020,40304,25447,977,24,12,7548,5155,144,0,4
2/26/2020,53553,31576,1261,24,12,13249,6129,284,0,0
2/27/2020,66652,39318,1766,27,13,13099,7742,505,3,1
2/28/2020,81167,48593,2337,27,16,14515,9275,571,0,3
2/29/2020,94055,55723,3150,28,17,12888,7130,813,1,1
3/1/2020,109591,71580,4212,31,22,15536,15857,1062,3,5
3/2/2020,125851,85484,4812,34,28,16260,13904,600,3,6
3/3/2020,136707,102965,5328,41,32,10856,17481,516,7,4
